case_id,defect_code,material,thickness_min,thickness_max,quality_scheme,quality_level,limit_type,limit_rule,limit_value,limit_factor,limit_cap,ratio_basis,limit_op,unit,t_mm,measured,expected_verdict,expected_margin,rationale
G01,2011,ST,8,25,iso5817,C,직경,const,3,,,,le,mm,12,3.00,합격,0.00,L=3; le 등호: 3.00≤3 참 → 합격; margin=3-3.00=0.00
G02,2011,ST,8,25,iso5817,C,직경,const,3,,,,le,mm,12,3.01,불합격,-0.01,경계 +0.01: 3.01≤3 거짓 → 불합격; margin=3-3.01=-0.01
G03,2011,ST,8,25,iso5817,C,직경,const,3,,,,le,mm,12,2.99,합격,0.01,경계 -0.01: 2.99≤3 참 → 합격; margin=0.01
G04,2011,ST,8,25,iso5817,C,직경,const,3,,,,le,mm,12,0.01,합격,2.99,깊은 합격역; margin=3-0.01=2.99
G05,301,ST,8,25,iso5817,C,길이,const,3,,,,lt,mm,12,3.00,불합격,0.00,lt 등호: 3.00<3 거짓 → 불합격; margin=0.00 (lt는 margin>0 이어야 합격)
G06,301,ST,8,25,iso5817,C,길이,const,3,,,,lt,mm,12,2.99,합격,0.01,lt: 2.99<3 참 → 합격; margin=0.01
G07,301,ST,8,25,iso5817,C,길이,const,3,,,,lt,mm,12,3.01,불합격,-0.01,lt: 3.01<3 거짓 → 불합격; margin=-0.01
G08,401,ST,8,25,iso5817,B,길이,prop_t,,0.1,,t,le,mm,12,1.20,합격,0.00,L=0.1×12=1.20; 1.20≤1.20 참; margin=0.00
G09,401,ST,8,25,iso5817,B,길이,prop_t,,0.1,,t,le,mm,12,1.21,불합격,-0.01,L=1.20; 1.21≤1.20 거짓; margin=-0.01
G10,401,ST,8,25,iso5817,B,길이,prop_t,,0.1,,t,le,mm,12.34,1.23,합격,0.00,L=0.1×12.34=1.234 → 0.01 양자화 1.23; margin=0.00
G11,401,ST,8,25,iso5817,C,길이,prop_t,,0.25,,t,le,mm,8.10,2.02,합격,0.01,L=0.25×8.10=2.025 → ROUND_HALF_UP 2.03; 2.02≤2.03 참; margin=0.01
G12,401,ST,8,25,iso5817,C,길이,prop_t,,0.25,,t,le,mm,8.10,2.03,합격,0.00,L=2.03 (HALF_UP); 등호 합격; margin=0.00
G13,401,ST,8,25,iso5817,C,길이,prop_t,,0.25,,t,le,mm,8.10,2.04,불합격,-0.01,L=2.03; 2.04≤2.03 거짓; margin=-0.01
