ann_id,image_id,src_label_raw,defect_type,iso_code,polygon_json,bbox_x1_px,bbox_y1_px,bbox_x2_px,bbox_y2_px,area_px,major_axis_px,minor_axis_px,equiv_diameter_px,major_axis_mm,equiv_diameter_mm,geom_valid,geom_flags
aihub71761:data/raw/aihub71761/RT/AL/w00002_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00002_f0.png,융합불량,lack_of_fusion,401,"[[294.59,374.24],[219.55,343.89],[222.4,342.54],[230.54,337.16],[234.55,331.0],[238.37,322.79],[271.77,312.39],[272.71,317.79],[307.88,347.19],[303.02,350.21]]",219,312,308,375,2762.17,83.12,48.78,59.30,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00005_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00005_f0.png,기공,porosity,2011,"[[251.83,551.5],[232.76,554.11],[232.69,553.43],[218.56,549.62],[213.62,537.67],[214.49,534.9]]",213,534,252,555,309.75,40.86,11.80,19.86,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00006_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00006_f0.png,슬래그혼입,slag_inclusion,301,"[[1043.35,191.94],[1040.8,194.49],[1041.36,196.65],[1026.73,200.43],[1009.21,188.55],[1013.76,175.19],[1011.73,171.98],[1015.16,165.81],[1042.17,178.05]]",1009,165,1044,201,778.72,37.17,26.76,31.49,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00006_f1.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00006_f1.png,슬래그혼입,slag_inclusion,301,"[[131.8,265.24],[128.53,264.82],[116.82,270.09],[111.07,257.78],[129.19,253.22],[130.59,255.92]]",111,253,132,271,214.81,19.14,13.48,16.54,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00008_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00008_f0.png,기공,porosity,2011,"[[788.44,174.32],[789.43,177.69],[717.68,160.66],[763.78,123.62],[792.05,126.56],[788.09,143.98],[790.01,146.08],[801.03,147.3],[794.61,151.61]]",717,123,802,178,2480.80,78.01,50.35,56.20,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00010_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00010_f0.png,기공,porosity,2011,"[[928.49,451.9],[927.31,466.56],[891.6,485.76],[847.27,446.94],[856.68,429.69],[868.36,414.42],[882.89,405.73],[909.48,411.74],[921.86,431.98],[930.73,441.54]]",847,405,931,486,4242.03,78.70,67.47,73.49,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00010_f1.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00010_f1.png,기공,porosity,2011,"[[1247.29,541.14],[1223.81,552.8],[1211.65,552.43],[1209.54,549.8],[1199.21,519.04],[1198.11,503.28],[1201.6,505.73],[1219.04,491.99],[1235.26,494.14]]",1198,491,1248,553,2122.78,60.09,41.10,51.99,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00011_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00011_f0.png,슬래그혼입,slag_inclusion,301,"[[1007.54,192.44],[1007.07,194.61],[981.34,208.46],[977.67,212.23],[968.27,190.83],[967.77,184.97],[971.51,177.49],[974.32,176.83],[982.65,172.67],[985.85,168.05],[1012.22,185.81]]",967,168,1013,213,1079.77,43.22,33.69,37.08,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00013_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00013_f0.png,기공,porosity,2011,"[[703.89,642.11],[675.33,643.41],[655.77,577.11],[695.76,556.49],[727.53,581.24],[728.27,596.27]]",655,556,729,644,4214.91,84.42,67.66,73.26,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00014_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00014_f0.png,슬래그혼입,slag_inclusion,301,"[[539.93,367.33],[531.32,367.24],[530.98,361.58],[520.33,345.55],[538.38,333.67],[542.94,331.38],[549.14,337.7],[553.53,349.0]]",520,331,554,368,695.01,30.73,29.25,29.75,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00018_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00018_f0.png,슬래그혼입,slag_inclusion,301,"[[965.83,314.67],[963.53,313.7],[962.07,312.39],[960.0,302.4],[962.9,298.67],[975.83,300.77],[975.73,303.34],[979.04,303.82]]",960,298,980,315,179.53,18.55,14.22,15.12,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00019_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00019_f0.png,기공,porosity,2011,"[[687.04,243.7],[670.99,250.56],[670.36,251.42],[664.87,245.4],[670.18,231.32],[680.24,228.55],[680.61,230.29],[680.56,231.1],[686.11,239.07]]",664,228,688,252,306.93,21.93,18.32,19.77,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00020_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00020_f0.png,기공,porosity,2011,"[[707.85,649.22],[710.22,646.1],[710.94,645.39],[702.6,644.14],[719.59,623.33],[767.6,609.56],[788.68,612.7],[788.08,613.9],[797.71,626.2]]",702,609,798,650,1833.67,96.59,23.59,48.32,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00022_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00022_f0.png,슬래그혼입,slag_inclusion,301,"[[844.76,504.66],[840.65,505.21],[839.78,506.41],[842.96,513.86],[795.91,506.03],[804.93,481.2],[823.15,478.55],[828.11,476.17],[828.62,481.0],[841.97,488.01],[841.32,491.29]]",795,476,845,514,1215.60,47.96,34.74,39.34,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00022_f1.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00022_f1.png,슬래그혼입,slag_inclusion,301,"[[468.69,94.21],[436.83,109.15],[433.26,103.43],[428.5,96.22],[427.78,96.21],[463.11,66.72],[460.07,71.97],[472.61,76.96]]",427,66,473,110,897.77,48.10,24.68,33.81,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00022_f2.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00022_f2.png,슬래그혼입,slag_inclusion,301,"[[883.17,251.94],[874.57,251.7],[875.28,254.71],[837.25,267.59],[824.73,244.45],[848.19,214.48],[852.22,218.13],[855.08,212.29],[882.26,238.09]]",824,212,884,268,1908.69,56.53,46.79,49.30,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00023_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00023_f0.png,균열,crack,100,"[[370.23,599.66],[370.43,601.18],[362.94,604.36],[359.97,601.09],[356.81,597.45],[363.29,589.75],[371.11,595.08]]",356,589,372,605,124.92,12.82,12.36,12.61,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00023_f0.png#1,aihub71761:data/raw/aihub71761/RT/AL/w00023_f0.png,기공,porosity,2011,"[[204.03,412.19],[200.21,416.22],[193.95,416.86],[193.72,416.86],[193.35,417.51],[189.37,416.12],[188.63,403.7],[196.21,398.18],[201.24,402.37],[203.78,404.79]]",188,398,205,418,222.57,19.13,15.06,16.83,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00023_f1.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00023_f1.png,균열,crack,100,"[[300.56,60.21],[297.23,70.49],[295.21,72.25],[290.21,79.47],[284.33,75.58],[275.27,73.48],[262.78,52.57],[279.77,40.66],[287.16,39.57]]",262,39,301,80,902.39,38.24,28.44,33.90,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00023_f1.png#1,aihub71761:data/raw/aihub71761/RT/AL/w00023_f1.png,기공,porosity,2011,"[[551.03,392.61],[538.21,408.58],[540.31,412.24],[535.29,411.61],[530.71,419.11],[513.59,365.53],[527.58,359.42],[538.13,369.51],[553.29,386.43]]",513,359,554,420,1194.66,57.81,31.46,39.00,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00023_f2.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00023_f2.png,균열,crack,100,"[[936.27,596.31],[938.65,602.36],[913.29,610.63],[892.88,599.65],[865.16,579.05],[865.22,577.82],[869.71,548.39],[879.33,543.19],[942.35,532.02],[949.3,555.38]]",865,532,950,611,4673.12,86.98,72.33,77.14,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00023_f2.png#1,aihub71761:data/raw/aihub71761/RT/AL/w00023_f2.png,기공,porosity,2011,"[[241.74,148.37],[235.04,149.97],[228.61,145.28],[225.77,131.49],[229.34,126.81],[236.9,123.56]]",225,123,242,150,276.15,25.57,12.44,18.75,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00024_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00024_f0.png,기공,porosity,2011,"[[523.13,382.21],[489.04,384.78],[487.65,383.49],[480.15,385.54],[456.62,373.51],[460.04,368.57],[456.51,342.38],[470.66,320.36],[523.78,317.74],[526.27,328.79]]",456,317,527,386,4081.77,71.77,65.57,72.09,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00025_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00025_f0.png,융합불량,lack_of_fusion,401,"[[723.45,475.05],[721.34,475.08],[718.36,477.31],[715.48,475.8],[722.71,467.0],[724.16,466.15],[724.54,466.28],[724.17,468.15]]",715,466,725,478,44.43,13.11,5.68,7.52,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00026_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00026_f0.png,슬래그혼입,slag_inclusion,301,"[[25.83,186.92],[20.46,182.89],[10.4,169.08],[10.16,152.7],[14.12,151.84],[16.0,148.0],[22.74,147.21],[40.16,138.31],[53.16,154.77]]",10,138,54,187,1199.56,43.09,36.64,39.08,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00027_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00027_f0.png,기공,porosity,2011,"[[580.34,144.78],[574.46,147.02],[571.08,124.51],[576.93,123.71],[578.94,120.38],[580.45,109.85],[589.83,108.14],[614.72,106.19],[627.35,113.57],[630.6,128.13],[636.01,133.23]]",571,106,637,148,1732.77,63.08,34.96,46.97,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00028_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00028_f0.png,슬래그혼입,slag_inclusion,301,"[[505.63,647.15],[502.87,648.82],[500.43,654.0],[470.75,650.71],[463.43,642.33],[462.46,632.15],[504.04,615.88],[513.39,617.5],[507.92,623.98]]",462,615,514,654,1228.72,49.01,38.29,39.55,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00033_f0.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00033_f0.png,기공,porosity,2011,"[[905.69,57.18],[897.44,47.72],[901.55,45.35],[915.88,13.38],[929.46,9.6],[940.2,10.96],[953.48,20.07]]",897,9,954,58,1194.06,61.22,28.34,38.99,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00033_f1.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00033_f1.png,기공,porosity,2011,"[[252.77,292.51],[249.32,309.42],[192.96,300.89],[194.66,256.27],[204.59,253.93],[209.57,254.5],[216.78,245.25],[230.14,251.77],[250.89,252.43],[251.36,268.79],[262.09,276.41]]",192,245,263,310,3215.06,69.68,58.58,63.98,,,True,
aihub71761:data/raw/aihub71761/RT/AL/w00033_f2.png#0,aihub71761:data/raw/aihub71761/RT/AL/w00033_f2.png,기공,porosity,2011,"[[153.64,106.47],[147.83,105.47],[130.87,103.69],[105.22,60.58],[98.99,54.51],[101.83,54.09],[102.34,53.75],[147.38,28.63]]",98,28,154,107,2394.86,78.09,50.31,55.22,,,True,
