ann_id,image_id,src_label_raw,defect_type,iso_code,polygon_json,bbox_x1_px,bbox_y1_px,bbox_x2_px,bbox_y2_px,area_px,major_axis_px,minor_axis_px,equiv_diameter_px,major_axis_mm,equiv_diameter_mm,geom_valid,geom_flags
riawelc:data/raw/riawelc/RT/UNK/w00000_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00000_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00002_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00002_f0.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00003_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00003_f0.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00003_f0.png#1,riawelc:data/raw/riawelc/RT/UNK/w00003_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00003_f1.png#0,riawelc:data/raw/riawelc/RT/UNK/w00003_f1.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00003_f1.png#1,riawelc:data/raw/riawelc/RT/UNK/w00003_f1.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00003_f2.png#0,riawelc:data/raw/riawelc/RT/UNK/w00003_f2.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00003_f2.png#1,riawelc:data/raw/riawelc/RT/UNK/w00003_f2.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00003_f3.png#0,riawelc:data/raw/riawelc/RT/UNK/w00003_f3.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00003_f3.png#1,riawelc:data/raw/riawelc/RT/UNK/w00003_f3.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00004_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00004_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00005_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00005_f0.png,CR,crack,100,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00007_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00007_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00008_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00008_f0.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00008_f1.png#0,riawelc:data/raw/riawelc/RT/UNK/w00008_f1.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00008_f2.png#0,riawelc:data/raw/riawelc/RT/UNK/w00008_f2.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00008_f3.png#0,riawelc:data/raw/riawelc/RT/UNK/w00008_f3.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00009_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00009_f0.png,CR,crack,100,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00010_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00010_f0.png,CR,crack,100,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00010_f0.png#1,riawelc:data/raw/riawelc/RT/UNK/w00010_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00011_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00011_f0.png,CR,crack,100,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00013_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00013_f0.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00015_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00015_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00018_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00018_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00019_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00019_f0.png,CR,crack,100,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00020_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00020_f0.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00020_f1.png#0,riawelc:data/raw/riawelc/RT/UNK/w00020_f1.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00021_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00021_f0.png,CR,crack,100,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00023_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00023_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00024_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00024_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00025_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00025_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00026_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00026_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00026_f1.png#0,riawelc:data/raw/riawelc/RT/UNK/w00026_f1.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00026_f2.png#0,riawelc:data/raw/riawelc/RT/UNK/w00026_f2.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00026_f3.png#0,riawelc:data/raw/riawelc/RT/UNK/w00026_f3.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00027_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00027_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00027_f1.png#0,riawelc:data/raw/riawelc/RT/UNK/w00027_f1.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00029_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00029_f0.png,CR,crack,100,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00029_f0.png#1,riawelc:data/raw/riawelc/RT/UNK/w00029_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00030_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00030_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00032_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00032_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00033_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00033_f0.png,CR,crack,100,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00034_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00034_f0.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00035_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00035_f0.png,CR,crack,100,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00035_f1.png#0,riawelc:data/raw/riawelc/RT/UNK/w00035_f1.png,CR,crack,100,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00035_f2.png#0,riawelc:data/raw/riawelc/RT/UNK/w00035_f2.png,CR,crack,100,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00035_f3.png#0,riawelc:data/raw/riawelc/RT/UNK/w00035_f3.png,CR,crack,100,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00036_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00036_f0.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00036_f1.png#0,riawelc:data/raw/riawelc/RT/UNK/w00036_f1.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00036_f2.png#0,riawelc:data/raw/riawelc/RT/UNK/w00036_f2.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00036_f3.png#0,riawelc:data/raw/riawelc/RT/UNK/w00036_f3.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00038_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00038_f0.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00039_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00039_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00040_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00040_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00041_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00041_f0.png,CR,crack,100,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00041_f0.png#1,riawelc:data/raw/riawelc/RT/UNK/w00041_f0.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00042_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00042_f0.png,PO,porosity,2011,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00044_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00044_f0.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00046_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00046_f0.png,CR,crack,100,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00046_f1.png#0,riawelc:data/raw/riawelc/RT/UNK/w00046_f1.png,CR,crack,100,,,,,,,,,,,,True,
riawelc:data/raw/riawelc/RT/UNK/w00048_f0.png#0,riawelc:data/raw/riawelc/RT/UNK/w00048_f0.png,LP,lack_of_penetration,402,,,,,,,,,,,,True,
